=============================================================================
|                      OPSI PEMBELIAN EKSTRA PREWEDDING                     |
|===========================================================================|
| No. |                    Opsi Tambahan                    |     Harga     |
|===========================================================================|
|-----|-----------------------------------------------------|---------------|
| 1.  | Album Foto                                          | Rp. 240000    |
|-----|-----------------------------------------------------|---------------|
| 2.  | All Softcopy                                        | Rp. 162000    |
|-----|-----------------------------------------------------|---------------|
| 3.  | Bingkai Hitam 24R                                   | Rp. 146000    |
|-----|-----------------------------------------------------|---------------|
| 4.  | Bingkai Hitam 20R                                   | Rp. 120000    |
|-----|-----------------------------------------------------|---------------|
| 5.  | Bingkai Hitam 16R                                   | Rp. 84000     |
|-----|-----------------------------------------------------|---------------|
| 6.  | Bingkai Hitam 12R                                   | Rp. 71000     |
|-----|-----------------------------------------------------|---------------|
| 7.  | Bingkai Hitam 10R                                   | Rp. 68000     |
|-----|-----------------------------------------------------|---------------|
| 8.  | Bingkai Hitam 8R                                    | Rp. 61000     |
|-----|-----------------------------------------------------|---------------|
| 9.  | Bingkai Hitam 6R                                    | Rp. 58000     |
|-----|-----------------------------------------------------|---------------|
| 10. | Bingkai Hitam 5R                                    | Rp. 53000     |
|-----|-----------------------------------------------------|---------------|
| 11. | Bingkai Hitam 4R                                    | Rp. 50000     |
|-----|-----------------------------------------------------|---------------|
| 12. | Bingkai Hitam 3R                                    | Rp. 46000     |
|-----|-----------------------------------------------------|---------------|
| 13. | Bingkai Hitam 2R                                    | Rp. 42000     |
|-----|-----------------------------------------------------|---------------|
| 14. | Bingkai Putih 24R                                   | Rp. 146000    |
|-----|-----------------------------------------------------|---------------|
| 15. | Bingkai Putih 20R                                   | Rp. 120000    |
|-----|-----------------------------------------------------|---------------|
| 16. | Bingkai Putih 16R                                   | Rp. 84000     |
|-----|-----------------------------------------------------|---------------|
| 17. | Bingkai Putih 12R                                   | Rp. 71000     |
|-----|-----------------------------------------------------|---------------|
| 18. | Bingkai Putih 10R                                   | Rp. 68000     |
|-----|-----------------------------------------------------|---------------|
| 19. | Bingkai Putih 8R                                    | Rp. 61000     |
|-----|-----------------------------------------------------|---------------|
| 20. | Bingkai Putih 6R                                    | Rp. 58000     |
|-----|-----------------------------------------------------|---------------|
| 21. | Bingkai Putih 5R                                    | Rp. 53000     |
|-----|-----------------------------------------------------|---------------|
| 22. | Bingkai Putih 4R                                    | Rp. 50000     |
|-----|-----------------------------------------------------|---------------|
| 23. | Bingkai Putih 3R                                    | Rp. 46000     |
|-----|-----------------------------------------------------|---------------|
| 24. | Bingkai Putih 2R                                    | Rp. 42000     |
|-----|-----------------------------------------------------|---------------|
| 25. | Cetak Gambar 24R                                    | Rp. 70000     |
|-----|-----------------------------------------------------|---------------|
| 26. | Cetak Gambar 20R                                    | Rp. 45000     |
|-----|-----------------------------------------------------|---------------|
| 27. | Cetak Gambar 16R                                    | Rp. 34000     |
|-----|-----------------------------------------------------|---------------|
| 28. | Cetak Gambar 12R                                    | Rp. 22000     |
|-----|-----------------------------------------------------|---------------|
| 29. | Cetak Gambar 10R                                    | Rp. 10000     |
|-----|-----------------------------------------------------|---------------|
| 30. | Cetak Gambar 8R                                     | Rp. 8000      |
|-----|-----------------------------------------------------|---------------|
| 31. | Cetak Gambar 6R                                     | Rp. 6500      |
|-----|-----------------------------------------------------|---------------|
| 32. | Cetak Gambar 5R                                     | Rp. 4500      |
|-----|-----------------------------------------------------|---------------|
| 33. | Cetak Gambar 4R                                     | Rp. 2500      |
|-----|-----------------------------------------------------|---------------|
| 34. | Cetak Gambar 3R                                     | Rp. 2000      |
|-----|-----------------------------------------------------|---------------|
| 35. | Cetak Gambar 2R                                     | Rp. 1500      |
|-----|-----------------------------------------------------|---------------|
=============================================================================
